,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2010-07-20,13654.760000000004,0.0,13654.760000000004,1020.0105720000003,0.0,1020.0105720000003,0.0747
2010-07-21,18826.46,2575.0,16251.46,1491.0556319999996,203.94,1287.115632,0.0792
2010-07-22,34185.75,0.0,34185.75,1726.3803750000002,0.0,1726.3803750000002,0.0505
2010-07-23,16455.11,700.0,15755.109999999999,1030.089886,43.82,986.269886,0.0626
2010-07-24,37405.92,0.0,37405.92,2038.62264,0.0,2038.62264,0.0545
2010-07-25,27538.650000000005,0.0,27538.650000000005,1390.7018250000008,0.0,1390.7018250000008,0.0505
2010-07-26,69290.30000000003,6800.0,62490.30000000002,3880.256800000001,380.8,3499.456800000001,0.056
2010-07-27,17522.69,5100.0,12422.689999999999,1051.3613999999998,306.0,745.3613999999999,0.06
2010-07-28,64250.520000000055,0.0,64250.520000000055,3784.355628000004,0.0,3784.355628000004,0.0589
2010-07-29,14163.329999999998,50.0,14113.329999999998,990.0167670000001,3.495,986.521767,0.0699
2010-07-30,18439.999999999996,0.0,18439.999999999996,1156.1880000000003,0.0,1156.1880000000003,0.0627
2010-07-31,12666.39,1550.0,11116.39,860.0478810000001,105.245,754.802881,0.0679
2010-08-01,66589.40000000001,1750.0,64839.4,4068.6123400000015,106.925,3961.6873400000013,0.0611
2010-08-02,60476.55,0.0,60476.55,3628.593,0.0,3628.593,0.06
2010-08-03,26808.599999999995,0.0,26808.599999999995,1608.5160000000003,0.0,1608.5160000000003,0.06
2010-08-04,14664.900000000001,2500.0,12164.900000000003,835.8992999999998,142.5,693.3993000000003,0.057
2010-08-05,28400.739999999998,0.0,28400.739999999998,1732.4451400000003,0.0,1732.4451400000003,0.061
2010-08-06,15195.380000000001,50.0,15145.380000000001,946.6721739999998,3.115,943.5571739999998,0.0623
2010-08-07,15944.42,3300.0,12644.419999999998,940.7207799999998,194.7,746.0207799999998,0.059
2010-08-08,9161.79,1650.0,7511.790000000001,557.9530110000001,100.485,457.4680110000001,0.0609
2010-08-09,65481.76000000011,300.0,65181.76000000011,4649.204960000007,21.3,4627.904960000008,0.071
2010-08-10,21373.32,1050.26,20323.06,1496.1324,73.51820000000001,1422.6142,0.07
2010-08-11,44838.55999999999,0.0,44838.55999999999,3004.18352,0.0,3004.18352,0.067
2010-08-12,11004.11,0.0,11004.11,770.2876999999999,0.0,770.2876999999999,0.07
2010-08-13,20601.100000000002,0.0,20601.100000000002,1328.77095,0.0,1328.77095,0.0645
2010-08-14,6206.34,0.0,6206.34,415.82478,0.0,415.82478,0.067
2010-08-15,9682.97,0.0,9682.97,632.2979409999999,0.0,632.2979409999999,0.0653
2010-08-16,43338.99000000003,0.0,43338.99000000003,2838.703845000001,0.0,2838.703845000001,0.0655
2010-08-17,36526.37,0.0,36526.37,2556.8459,0.0,2556.8459,0.07
