dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2009-01-03,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,450.0,200.0,0.0,0.0,0.0
2009-01-10,0.0,0.0,2450.0,600.0,0.0,0.0,0.0
2009-01-11,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
2009-01-12,0.0,1.0,4628.0,50.0,0.0,0.0,0.0
2009-01-13,0.0,0.0,5650.0,0.0,0.0,0.0,0.0
2009-01-14,0.0,0.0,5511.0,0.0,0.0,0.0,0.0
2009-01-15,0.0,0.0,5725.0,250.0,0.0,0.0,0.0
2009-01-16,0.0,0.0,4650.0,100.0,0.0,0.0,0.0
2009-01-17,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-01-18,0.0,0.0,4550.0,150.0,0.0,0.0,0.0
2009-01-19,0.0,0.0,4750.0,0.0,0.0,0.0,0.0
2009-01-20,0.0,0.0,4700.0,0.0,0.0,0.0,0.0
2009-01-21,0.0,0.0,4000.0,100.0,0.0,0.0,0.0
2009-01-22,0.0,0.0,4000.0,0.0,0.0,0.0,0.0
2009-01-23,0.0,0.0,3350.0,150.0,0.0,0.0,0.0
2009-01-24,0.0,0.0,8950.0,500.0,0.0,0.0,0.0
2009-01-25,0.0,0.0,8900.0,0.0,0.0,0.0,0.0
2009-01-26,0.0,0.0,4000.0,0.0,0.0,0.0,0.0
2009-01-27,0.0,0.0,4450.0,150.0,0.0,0.0,0.0
2009-01-28,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-01-29,0.0,0.0,4650.0,0.0,0.0,0.0,0.0
2009-01-30,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
2009-01-31,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,4050.0,0.0,0.0,0.0,0.0
2009-02-02,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-02-03,0.02,0.0,4702.0,0.0,0.0,0.0,0.0
2009-02-04,0.0,0.0,4500.0,0.0,0.0,0.0,0.0
2009-02-05,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-02-06,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
2009-02-07,0.0,2.0,4600.0,1148.0,0.0,0.0,0.0
2009-02-08,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-02-09,0.0,0.0,4850.0,0.0,0.0,0.0,0.0
2009-02-10,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
2009-02-11,0.0,0.0,5200.0,550.04,0.0,0.0,0.0
2009-02-12,0.0,0.0,4850.0,0.0,0.0,0.0,0.0
2009-02-13,0.0,0.0,4800.0,0.0,0.0,0.0,0.0
2009-02-14,0.0,0.0,5150.0,0.0,0.0,0.0,0.0
2009-02-15,0.0,0.0,4800.0,550.0,0.0,0.0,0.0
2009-02-16,0.0,0.0,4800.0,0.0,0.0,0.0,0.0
2009-02-17,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-02-18,0.0,0.0,4750.0,0.0,0.0,0.0,0.0
2009-02-19,0.0,0.0,4400.0,0.0,0.0,0.0,0.0
2009-02-20,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
2009-02-21,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
2009-02-22,0.0,0.0,4800.0,0.0,400.0,0.0,0.0
2009-02-23,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-02-24,0.0,0.0,4500.0,0.0,0.0,0.0,0.0
2009-02-25,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-02-26,0.0,0.0,4650.0,0.0,0.0,0.0,0.0
2009-02-27,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-02-28,0.0,0.0,4550.0,0.0,350.0,0.0,0.0
2009-03-01,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-03-02,0.0,0.0,4650.0,0.0,0.0,0.0,0.0
2009-03-03,0.0,0.0,4400.0,0.0,400.0,0.0,0.0
2009-03-04,0.0,0.0,4200.0,0.0,0.0,0.0,0.0
2009-03-05,0.0,0.0,4500.0,0.0,0.0,0.0,0.0
2009-03-06,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-03-07,0.0,0.0,4200.0,0.0,0.0,0.0,0.0
2009-03-08,0.0,0.0,4900.0,0.0,1200.0,0.0,0.0
2009-03-09,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-03-10,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-03-11,0.0,0.0,4400.0,0.0,0.0,0.0,0.0
2009-03-12,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-03-13,0.0,0.0,4950.0,0.0,750.0,0.0,0.0
2009-03-14,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-03-15,0.0,0.0,4750.0,0.0,0.0,0.0,0.0
2009-03-16,0.0,0.0,4700.0,0.0,0.0,0.0,0.0
2009-03-17,0.0,0.0,4500.0,0.0,0.0,0.0,0.0
2009-03-18,0.0,0.0,4900.0,0.0,700.0,0.0,0.0
2009-03-19,0.0,0.0,4800.0,0.0,0.0,0.0,0.0
2009-03-20,0.0,0.0,4600.0,0.0,0.0,0.0,0.0
2009-03-21,0.0,0.0,1200.0,0.0,0.0,0.0,0.0
2009-03-22,0.0,0.0,4300.0,0.0,550.0,0.0,0.0
2009-03-23,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
2009-03-24,0.0,0.0,4400.0,0.0,0.0,0.0,0.0
2009-03-25,0.0,0.0,4400.0,0.0,0.0,0.0,0.0
2009-03-26,0.0,0.0,4650.0,0.0,0.0,0.0,0.0
2009-03-27,0.0,0.0,4200.0,0.0,0.0,0.0,0.0
2009-03-28,0.0,0.0,4550.0,0.0,1000.0,0.0,0.0
2009-03-29,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-03-30,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-03-31,0.0,0.0,4650.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-04-02,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-04-03,0.0,0.0,4250.0,0.0,0.0,0.0,0.0
2009-04-04,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-04-05,0.0,0.0,4650.0,0.0,850.0,0.0,0.0
2009-04-06,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-04-07,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-04-08,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-04-09,0.0,0.0,4050.0,0.0,0.0,0.0,0.0
2009-04-10,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-04-11,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-04-12,0.0,0.0,4750.0,0.0,650.0,0.0,0.0
2009-04-13,0.0,0.0,4500.0,0.0,0.0,0.0,0.0
2009-04-14,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-04-15,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-04-16,0.0,0.0,4750.0,0.0,0.0,0.0,0.0
2009-04-17,0.0,0.0,4800.0,0.0,0.0,0.0,0.0
2009-04-18,0.0,0.0,5050.0,0.0,0.0,0.0,0.0
2009-04-19,0.0,0.0,4850.0,0.0,400.0,0.0,0.0
2009-04-20,0.0,0.0,4750.0,0.0,0.0,0.0,0.0
2009-04-21,0.0,0.0,4950.0,0.0,0.0,0.0,0.0
2009-04-22,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
2009-04-23,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
2009-04-24,0.0,0.0,4550.0,0.0,0.0,0.0,0.0
2009-04-25,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-04-26,0.0,0.0,4450.0,0.0,750.0,0.0,0.0
2009-04-27,0.0,0.0,4400.0,0.0,0.0,0.0,0.0
2009-04-28,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-04-29,0.0,0.0,5250.0,0.0,0.0,0.0,0.0
2009-04-30,0.0,0.0,5450.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-05-02,0.0,0.0,4400.0,0.0,0.0,0.0,0.0
2009-05-03,0.0,0.0,3750.0,0.0,0.0,0.0,0.0
2009-05-04,0.0,0.0,4800.0,0.0,0.0,0.0,0.0
2009-05-05,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
2009-05-06,0.0,0.0,4850.0,50.0,0.0,0.0,0.0
2009-05-07,0.0,0.0,4400.0,100.0,0.0,0.0,0.0
2009-05-08,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
