,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-08-23 13:00:00,0.0,0.0,0.0,1.0,11596.65
2020-08-23 14:00:00,5.0,0.0,0.0,5.0,11625.56
2020-08-23 15:00:00,2.0,2.0,0.0,6.0,11650.76
2020-08-23 16:00:00,1.0,0.0,0.0,5.0,11641.0
2020-08-23 17:00:00,4.0,0.0,0.0,4.0,11636.67
2020-08-23 18:00:00,8.0,0.0,0.0,13.0,11666.26
2020-08-23 19:00:00,1.0,0.0,0.0,2.0,11689.2
2020-08-23 20:00:00,3.0,0.0,0.0,8.0,11667.95
2020-08-23 21:00:00,5.0,0.0,0.0,3.0,11675.82
2020-08-23 22:00:00,5.0,0.0,0.0,7.0,11651.77
2020-08-23 23:00:00,3.0,0.0,0.0,1.0,11650.01
2020-08-24 00:00:00,1.0,0.0,0.0,1.0,11634.09
2020-08-24 01:00:00,1.0,0.0,0.0,3.0,11639.48
2020-08-24 02:00:00,5.0,0.0,0.0,6.0,11653.55
2020-08-24 03:00:00,8.0,0.0,1.0,2.0,11684.69
2020-08-24 04:00:00,19.0,0.0,0.0,4.0,11679.94
2020-08-24 05:00:00,6.0,0.0,0.0,6.0,11660.66
2020-08-24 06:00:00,3.0,0.0,1.0,6.0,11755.59
2020-08-24 07:00:00,2.0,0.0,1.0,5.0,11760.0
2020-08-24 08:00:00,7.0,0.0,2.0,8.0,11784.82
2020-08-24 09:00:00,1.0,0.0,0.0,4.0,11784.69
2020-08-24 10:00:00,3.0,0.0,0.0,11.0,11781.9
2020-08-24 11:00:00,2.0,0.0,3.0,3.0,11789.3
2020-08-24 12:00:00,3.0,0.0,0.0,10.0,11780.24
2020-08-24 13:00:00,10.0,1.0,3.0,7.0,11762.79
2020-08-24 14:00:00,7.0,0.0,3.0,11.0,11730.82
2020-08-24 15:00:00,2.0,4.0,1.0,13.0,11768.42
2020-08-24 16:00:00,8.0,0.0,0.0,7.0,11761.94
2020-08-24 17:00:00,5.0,1.0,1.0,2.0,11753.71
2020-08-24 18:00:00,4.0,0.0,1.0,4.0,11739.46
2020-08-24 19:00:00,6.0,1.0,3.0,10.0,11746.64
2020-08-24 20:00:00,5.0,0.0,1.0,3.0,11728.26
2020-08-24 21:00:00,8.0,2.0,0.0,13.0,11760.11
2020-08-24 22:00:00,8.0,0.0,0.0,8.0,11755.0
2020-08-24 23:00:00,3.0,0.0,0.0,2.0,11753.85
2020-08-25 00:00:00,5.0,0.0,1.0,6.0,11742.53
2020-08-25 01:00:00,1.0,0.0,0.0,6.0,11764.03
2020-08-25 02:00:00,3.0,0.0,0.0,7.0,11683.05
2020-08-25 03:00:00,1.0,0.0,0.0,2.0,11672.19
2020-08-25 04:00:00,0.0,0.0,0.0,0.0,11682.61
2020-08-25 05:00:00,4.0,0.0,0.0,1.0,11667.38
2020-08-25 06:00:00,17.0,0.0,1.0,5.0,11606.83
2020-08-25 07:00:00,8.0,0.0,0.0,1.0,11585.31
2020-08-25 08:00:00,15.0,0.0,0.0,9.0,11580.33
2020-08-25 09:00:00,2.0,0.0,0.0,5.0,11589.37
2020-08-25 11:00:00,5.0,1.0,0.0,7.0,11615.91
2020-08-25 12:00:00,1.0,0.0,0.0,13.0,11493.79
2020-08-25 13:00:00,1.0,0.0,2.0,4.0,11444.96
2020-08-25 14:00:00,3.0,1.0,2.0,6.0,11395.97
2020-08-25 15:00:00,2.0,0.0,4.0,5.0,11425.0
2020-08-25 16:00:00,0.0,0.0,3.0,3.0,11331.2
2020-08-25 17:00:00,1.0,0.0,5.0,4.0,11230.01
2020-08-25 18:00:00,2.0,1.0,2.0,4.0,11303.23
2020-08-25 19:00:00,3.0,1.0,0.0,3.0,11298.96
2020-08-25 20:00:00,3.0,0.0,1.0,1.0,11263.17
2020-08-25 21:00:00,5.0,3.0,3.0,7.0,11303.28
2020-08-25 22:00:00,2.0,1.0,0.0,6.0,11359.64
2020-08-25 23:00:00,1.0,1.0,0.0,2.0,11324.92
2020-08-26 00:00:00,1.0,0.0,1.0,3.0,11284.39
2020-08-26 01:00:00,1.0,0.0,1.0,3.0,11340.66
2020-08-26 02:00:00,0.0,0.0,1.0,2.0,11396.08
2020-08-26 03:00:00,5.0,1.0,1.0,5.0,11369.68
2020-08-26 04:00:00,13.0,0.0,0.0,3.0,11354.5
2020-08-26 05:00:00,8.0,0.0,0.0,6.0,11363.54
2020-08-26 06:00:00,8.0,1.0,1.0,4.0,11329.94
2020-08-26 07:00:00,3.0,1.0,1.0,11.0,11347.42
2020-08-26 08:00:00,0.0,1.0,0.0,6.0,11363.6
2020-08-26 09:00:00,5.0,0.0,0.0,4.0,11372.04
2020-08-26 10:00:00,5.0,1.0,0.0,6.0,11396.39
2020-08-26 11:00:00,8.0,1.0,1.0,7.0,11380.22
2020-08-26 12:00:00,6.0,1.0,1.0,4.0,11314.4
2020-08-26 13:00:00,6.0,0.0,1.0,7.0,11408.8
2020-08-26 14:00:00,5.0,2.0,2.0,10.0,11445.84
2020-08-26 15:00:00,9.0,1.0,2.0,7.0,11488.78
2020-08-26 16:00:00,12.0,3.0,0.0,4.0,11472.12
2020-08-26 17:00:00,9.0,1.0,0.0,10.0,11459.57
2020-08-26 18:00:00,4.0,0.0,1.0,7.0,11450.55
2020-08-26 19:00:00,5.0,0.0,2.0,4.0,11469.03
2020-08-26 20:00:00,8.0,4.0,1.0,12.0,11514.14
2020-08-26 21:00:00,5.0,1.0,2.0,5.0,11475.51
2020-08-26 22:00:00,4.0,0.0,2.0,2.0,11453.75
